ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
41410,Ahmed Goneim,M,,,,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,No Medal
62946,Tadahiro Kosaka,M,28.0,179.0,65.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,No Medal
16075,Marano Bucio Ramrez,M,33.0,168.0,72.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal
124796,Hubert Van Nerom,M,28.0,,,Belgium,BEL,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",No Medal
856,Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",No Medal
35764,Sebastian Fleischer,M,18.0,179.0,74.0,Denmark,DEN,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Windsurfer,No Medal
26540,Franco De Pedrina,M,23.0,184.0,83.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,Silver
10101,Aleksi Benianidze,M,22.0,184.0,80.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal
68514,Jean-Fernand Leischen,M,32.0,175.0,70.0,Luxembourg,LUX,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",No Medal
18138,Javier Carbayeda Echeverra,M,21.0,178.0,68.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal
111737,Karl Frederick Skoog,M,53.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No Medal
30325,Alphonse Ducatillon,M,,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
34929,Jos Ferraioli,M,20.0,180.0,77.0,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal
49249,Herbert Hohenberger,M,25.0,182.0,88.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
14934,Josef Brendle,M,43.0,,,Liechtenstein,LIE,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Rifle, 10 metres",No Medal
126414,Siegfried Viebahn,M,25.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Diving,Diving Men's Platform,No Medal
52080,Hirotsugu Inanami,M,27.0,,,Japan,JPN,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",No Medal
106397,Michael John Saywell,M,29.0,180.0,69.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",No Medal
63961,Hana Krejov,F,27.0,178.0,72.0,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,No Medal
119585,Ioannis Theodoropoulos,M,,,,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Bronze
55000,Jo Seong-Min,M,24.0,161.0,58.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,No Medal
68705,Suzanne Rachel Flore Lenglen,F,20.0,,,France-3,FRA,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Mixed Doubles,Gold
15369,Charles Robert Brookins,M,24.0,175.0,64.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,No Medal
59981,Kim Hyeon-Seop,M,31.0,175.0,53.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,No Medal
84142,Mitsuyo Nagumo,F,20.0,155.0,57.0,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal
4486,Zsolt Antal,M,33.0,175.0,68.0,Romania,ROU,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal
85391,Hana Nesvadbov,F,19.0,162.0,56.0,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,No Medal
50659,Huang Xu,M,21.0,162.0,59.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
95336,Celeste Plak,F,20.0,190.0,90.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,No Medal
90770,Tea Pali,F,18.0,161.0,59.0,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal
14076,"Anastasios ""Tasos"" Bountouris",M,36.0,186.0,103.0,Greece,GRE,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,No Medal
109811,Shin Doo-Sun,M,21.0,170.0,60.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal
97961,Freddy Quintero Linares,M,22.0,170.0,68.0,Venezuela,VEN,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",No Medal
118235,tefan Tampa,M,21.0,173.0,78.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Welterweight, Freestyle",No Medal
94620,"Victor Willoughby ""Vic"" Pickard",M,24.0,179.0,,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Pole Vault,No Medal
69487,Li Shuang,F,21.0,169.0,63.0,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,No Medal
15893,"George Philip ""Phil"" Bryant",M,26.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Double American Round,Gold
117994,Atsuko Takata,F,24.0,154.0,52.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",No Medal
53136,Marjorie Jackson (-Nelson),F,20.0,172.0,66.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 100 metres,Gold
82628,Kaveh Sadegh Mousavi,M,27.0,203.0,120.0,Iran,IRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Hammer Throw,No Medal
24278,Alan Lawrence Culpepper,M,31.0,186.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,No Medal
125815,Juan Jos Veloz Dvila,M,21.0,185.0,80.0,Mexico,MEX,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,No Medal
125553,Annick Vaxelaire-Pierrel,F,23.0,166.0,58.0,France,FRA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,No Medal
74104,"Thomas Alfred Terence ""Terry"" Malkin",M,28.0,178.0,72.0,Great Britain,GBR,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 10,000 metres",No Medal
83755,Costel Pavel Mutescu,M,26.0,191.0,90.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,No Medal
60661,Bjrn Kircheisen,M,18.0,183.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual,No Medal
129588,Wen Chia-Ling,F,22.0,160.0,54.0,Chinese Taipei,TPE,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team,No Medal
9497,Maryna Oleksandrivna Bekh,F,21.0,174.0,62.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,No Medal
10589,Miroslav Beri,M,23.0,198.0,92.0,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver
49159,Patrick Hoffmann,M,27.0,184.0,77.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,No Medal
65119,Karlo Kuret,M,34.0,186.0,100.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,No Medal
85322,Uwe Nepp,M,21.0,187.0,70.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal
5097,Vadim Arkhipchuk,M,27.0,182.0,75.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,No Medal
121687,Oumou Traor,F,26.0,183.0,84.0,Mali,MLI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Discus Throw,No Medal
33244,Francesco Esposito,M,29.0,170.0,72.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,No Medal
94231,Gta Elisabeth Pettersson (-Frisk),F,25.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No Medal
78932,Silvio Jos Merlo de Marzi,M,27.0,,,Antares,ARG,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed Two Person Keelboat,No Medal
1500,Kurt Harold Ainsworth,M,22.0,187.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
128332,Oliver Walther,M,23.0,163.0,55.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,No Medal
122065,Julia Lyman Trotman (-Brady),F,24.0,170.0,57.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's One Person Dinghy,Bronze
64815,Jerzy Zdzisaw Kulej,M,23.0,167.0,66.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,Gold
23421,"Angela Denise Coughlan (-Arusoo, -Sharp)",F,16.0,168.0,59.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
32507,Gail Emmanuel,F,21.0,175.0,58.0,Trinidad and Tobago,TTO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres,No Medal
95082,Jean Piot,M,42.0,,,France,FRA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
42817,Ilze Gribule,F,20.0,175.0,81.0,Latvia,LAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,No Medal
31842,Christina Eklund (-Olsson),F,24.0,166.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,No Medal
98327,Carl William Albert Raguse,M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No Medal
107358,Olivier Schoenfelder,M,24.0,183.0,75.0,France-2,FRA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,No Medal
80185,Yu Minobe,F,22.0,148.0,38.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,No Medal
117010,Elina Mykhailivna Svitolina,F,21.0,174.0,60.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,No Medal
125787,Iskra Velinova,F,26.0,171.0,72.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
74573,Muhammad Mansha,M,22.0,168.0,58.0,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,No Medal
105335,Nicole Sanderson,F,28.0,182.0,65.0,Australia-1,AUS,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No Medal
27401,Lon Delsarte,M,26.0,,,France,FRA,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
118575,Iryna Leonidivna Taranenko-Terelia,F,31.0,160.0,55.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,No Medal
124012,Esko Uolevi Valkama,M,27.0,178.0,74.5,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,No Medal
108045,Madeleine Scrve,F,23.0,,,Belgium,BEL,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Women's Foil, Individual",No Medal
109459,Gillian Mary Sheen (-Donaldson),F,28.0,168.0,64.0,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Women's Foil, Individual",Gold
10918,Fernando Bertrand Garca-Taheo,M,21.0,170.0,67.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
82238,Andrew J. Morris,M,26.0,168.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal
28489,Diego Dez de Rivera y Figueroa,M,27.0,,,Spain,ESP,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Team",No Medal
119809,Josephus Thomas,M,25.0,186.0,82.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal
98691,Murat Ramonov,M,26.0,192.0,120.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",No Medal
76795,Josef Matz,M,26.0,,,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,No Medal
129965,Michael Whitaker,M,24.0,172.0,69.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal
26943,Bernard Decoux,M,19.0,164.0,60.0,France,FRA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
30939,Alfredo Duvergel Adams,M,28.0,169.0,71.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,Silver
15824,Francesco Bruno,M,30.0,170.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",No Medal
74980,Ins Margraff,F,30.0,158.0,53.0,Ecuador,ECU,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",No Medal
83091,Jens Mller,M,32.0,175.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Luge,Luge Men's Singles,Bronze
64465,Tomasz Krzeszewski,M,29.0,184.0,82.0,Poland,POL,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,No Medal
76059,Pietro Masala,M,28.0,156.0,68.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,No Medal
82619,"Konstantinos ""Kostas"" Mourikis",M,24.0,197.0,109.0,Greece,GRE,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,No Medal
2225,Arsen Shakhlamazovich Alakhverdiyev,M,23.0,154.0,52.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
113324,Drago otari,M,29.0,169.0,69.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
9593,Sami Belgroun,M,29.0,188.0,100.0,Algeria,ALG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,No Medal
58267,Atsushi Kazama,M,33.0,174.0,63.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal
76514,Petr Matouek,M,22.0,181.0,82.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal
17844,Jos Oriol Canals Farriols,M,21.0,,,Spain,ESP,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,No Medal
45109,Geir Hallsteinsson,M,26.0,185.0,76.0,Iceland,ISL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,No Medal
126315,Carlos Vicente Vives,M,22.0,,,Spain,ESP,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,No Medal
70307,Ling Wan Ting,F,23.0,166.0,54.0,Hong Kong,HKG,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Singles,No Medal
135319,Ernst Paul Zdenko Viktor Karl Egon Maria zu Hohenlohe Schillingfrst,M,20.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Individual",No Medal
106502,Egbert Rubertus Deck Schaap,M,74.0,,,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No Medal
69456,Li Na,F,27.0,177.0,67.0,China,CHN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",No Medal
89257,Jerzy Janusz Opara,M,27.0,176.0,80.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No Medal
125872,Mara Alejandra Vento-Kabchi,F,26.0,168.0,64.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,No Medal
131809,Wu Peng,M,25.0,185.0,76.0,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,No Medal
48170,John Bryan Herring,M,29.0,180.0,63.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",No Medal
132004,Xiao Aihua,F,17.0,181.0,70.0,China,CHN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",No Medal
22296,Trevor Ivan Coker,M,26.0,192.0,87.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24.0,177.0,68.0,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal
31832,"Anthony Howard ""Tony"" Ekins",M,28.0,185.0,82.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,No Medal
131611,"Beatrix ""Trixi"" Worrack",F,34.0,159.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",No Medal
24088,Csaba Csatls,M,18.0,180.0,80.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,No Medal
73095,Craig MacLean,M,29.0,174.0,87.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Sprint,No Medal
115462,Margaret Annice Stone (-Donato),F,17.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal
13063,Emil (Elemr) Bmches von Boor,M,32.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",No Medal
122714,Mathieu Turgeon,M,21.0,180.0,84.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Trampolining,Trampolining Men's Individual,Bronze
89895,Istvn Osztrics,M,26.0,183.0,78.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Individual",No Medal
132234,Tayyar Yalaz,M,,,,Turkey,TUR,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",No Medal
25422,Lauris Drzi,M,25.0,191.0,91.0,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
94179,Emil Petru,M,25.0,178.0,76.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,No Medal
13717,Edith Bosch,F,20.0,183.0,70.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Middleweight,No Medal
87829,Lyuben Obretenov,M,18.0,,,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,No Medal
10548,Zuzana Bergrov,F,27.0,175.0,64.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal
43674,Marielle Guichard,F,20.0,170.0,52.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Women's Road Race, Individual",No Medal
29755,Olga Vyacheslavovna Dovgun (Belyayeva-),F,41.0,166.0,56.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No Medal
36776,Otto Franke,M,,,,Germany,GER,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Stone Throw,No Medal
121296,Ricardo Antonio Torres Arguelles,M,25.0,,,Panama,PAN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,No Medal
35474,Andr-Frdric Firmenich,M,31.0,,,Ylliam II,SUI,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed 6 metres,No Medal
13961,Jean Pierre Boudehen,M,29.0,175.0,68.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal
60496,Marissa Petra King,F,17.0,154.0,53.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No Medal
2442,Olympia Aldersey,F,24.0,183.0,75.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No Medal
41518,Francisco Gonzlez Suaste,M,21.0,185.0,71.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,No Medal
124669,John Van Hoek,M,23.0,176.0,69.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,No Medal
37705,Takaharu Furukawa,M,27.0,174.0,89.0,Japan,JPN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Silver
57917,Onni Olavi Kasslin,M,21.0,176.0,80.0,Finland,FIN,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's 1,000 metres Time Trial",No Medal
114802,Giuseppe Steiner,M,34.0,170.0,71.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal
16633,Nadezhda Valentinovna Burlakova (Shamakova-),F,24.0,165.0,59.0,Soviet Union,URS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal
103890,Colin Stirling Ryrie,M,34.0,189.0,85.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed One Person Dinghy,No Medal
58687,"Joseph James ""Joe"" Kendrick",M,18.0,,,Ireland,IRL,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,No Medal
29208,Lucien L. Dolqus,M,19.0,,,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Bronze
101804,Juan Carlos Rodrguez,M,20.0,168.0,70.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,No Medal
31141,Brian Dzingai,M,23.0,167.0,67.0,Zimbabwe,ZIM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,No Medal
52961,Kaori Iwasaki,F,15.0,163.0,53.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,No Medal
119076,Toivo Anselm Telen,M,28.0,188.0,90.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Shot Put,No Medal
129168,Albert Webster,M,27.0,175.0,66.0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,No Medal
26983,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,No Medal
114943,"Marie Louise ""Marilee"" Stepan (-Wehmann)",F,17.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 100 metres Freestyle,No Medal
4230,John Samuel Andru,M,35.0,179.0,79.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",No Medal
121395,Gyula Tth,M,36.0,176.0,63.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,No Medal
14618,Heather Brand,F,25.0,173.0,60.0,Zimbabwe,ZIM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,No Medal
121631,Sotirios Trakas,M,17.0,170.0,62.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,No Medal
90572,Paola Paggi,F,27.0,182.0,75.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,No Medal
104629,Fernando Fabricio Salas Manguis,M,28.0,186.0,155.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,No Medal
83377,Olga Munteanu,F,24.0,,,Romania,ROU,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No Medal
121414,Pter Tth,M,29.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Foil, Individual",No Medal
24239,Cui Yingzi,F,21.0,159.0,51.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,No Medal
108735,Morteza Sepahvandi,M,28.0,174.0,64.0,Iran,IRI,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,No Medal
80680,Jana Mlakar,F,21.0,174.0,57.0,Yugoslavia,YUG,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal
127172,Sabine Vlker,F,32.0,162.0,58.0,Germany,GER,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
56855,Stefan Klin,M,21.0,180.0,70.0,Switzerland,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,No Medal
107404,Robert Emil Schn,M,35.0,,,Germany,GER,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",No Medal
78108,Yelena Medvedeva,F,26.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,No Medal
30866,Erhan Dursun,M,26.0,182.0,76.0,Turkey,TUR,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal
